,country_name,ccode,facility_name,facility_ambiguity,enr_type,size,construction_start,construction_end,operation_start,operation_end,operation2_start,operation2_end,covert,iaea,regional,military,military_ambiguity,multinational,foreign_assistance,foreign_assistance_ambiguity,total_years_spent
101,Israel,666,"Negev Nuclear Research Center, Dimona Machon 2",0,1,3,1957,1963,1963,7777,,,1,0,0,1,0,0,1,0,6
103,Italy,325,Eurex SFRE (MTR) at Saluggia in Vercelli,0,1,2,1964,1968,1970,1983,,,0,1,0,0,0,0,0,0,4
104,Italy,325,Eurex SFRE (Oxide) at Saluggia in Vercelli,0,1,2,1976,1980,1980,1990,,,0,1,1,0,0,0,0,0,4
105,Italy,325,Eurex SFRE (PU Nitrate Line) Saluggia in Vercelli,0,1,2,1981,1988,1988,1990,,,0,1,1,0,0,0,0,0,7
106,Italy,325,ITREC at Trisaia,0,1,2,1962,1966,1966,1980,,,0,1,1,0,0,0,1,0,4
107,Japan,740,Asahi Uranium Enrichment Laboratory,0,5,2,1982,1986,1986,1991,,,0,1,0,0,0,0,0,0,4
108,Japan,740,JAEA Ningyo – Toge Enrichment Demo. Plant (DOP),0,3,2,1985,1988,1988,2001,,,0,1,0,0,0,0,0,0,3
109,Japan,740,"JAEA Tokai (Enrichment Tests in Naka-gun, Ibaraki prefecture)",0,7,1,1987,1991,1991,2003,,,0,1,0,0,0,0,0,0,4
110,Japan,740,JAEA Tokai Reprocessing Plant (Japan Nuclear Cycle Institute),0,1,2,1971,1975,1975,2006,,,0,1,0,0,0,0,1,0,4
113,Japan,740,Rokkasho Reprocessing Plant I,0,1,3,1993,2004,2005,7777,,,0,1,0,0,0,0,1,0,11
114,Japan,740,Rokkasho Uranium Enrichment Plant,0,3,3,1988,1992,1992,2009,2011.0,7777.0,0,1,0,0,0,0,0,0,4
119,Netherlands,210,Almelo SP1 (Dutch),0,3,2,1971,1973,1973,1981,,,0,1,1,0,0,1,1,0,2
120,Netherlands,210,Almelo SP2 (German Plant adjacent to the Dutch one in Almelo),0,3,2,1971,1973,1973,1981,,,0,1,1,0,0,1,1,0,2
121,Netherlands,210,Almelo SP3 Demonstration,0,3,2,1974,1980,1980,2005,,,0,1,1,0,0,1,1,0,6
122,Netherlands,210,Almelo SP4,0,3,3,1979,1981,1981,7777,,,0,1,1,0,0,1,1,0,2
129,Pakistan,770,Chaklala,0,3,2,1974,1976,1980,7777,,,1,0,0,1,0,0,0,0,2
133,Pakistan,770,Kahuta- KRL (A.Q. Khan Research Laboratories),0,3,3,1974,1984,1984,7777,,,1,0,0,1,0,0,1,1,10
134,Pakistan,770,Experimental Reprocessing Plant at Pakistan Institute of Nuclear Science and Technology (PINSTECH),0,1,2,1971,1973,1973,7777,,,1,0,0,1,0,0,1,0,2
135,Pakistan,770,New Labs at PINSTECH  ,0,1,2,1980,1982,1987,7777,,,1,0,0,1,0,0,1,1,2
136,Pakistan,770,Sihala,0,3,2,1976,1979,1979,7777,,,1,0,0,1,0,0,0,1,3
137,Romania,360,Pitesti Nuclear Research Institute,0,1,1,1981,1985,1985,1989,,,1,0,0,1,1,0,0,0,4
138,Russia,365,"Angarsk ElectroChemical Combine, Diffusion",0,2,3,1949,1957,1957,1992,,,1,0,0,1,0,0,0,0,8
142,Russia,365,Institute G (near Sukhumi),1,2,1,1945,1947,1947,1949,,,1,0,0,1,0,0,0,0,2
143,Russia,365,Krasnoyarsk-45 Electronchemical Plant - Diffusion (Zelenogorsk in Laughter),0,2,3,1949,1964,1964,1990,,,1,0,0,1,0,0,0,0,15
145,Russia,365,Krasnoyarsk-26,0,1,3,1950,1964,1964,2012,,,1,0,0,1,0,0,0,0,14
