,name,disaster,total_cpi_adjusted_cost_by_millions,deaths,begin_year,begin_month,begin_day,end_year,end_month,end_day,begin_date,end_date
201,Central Severe Weather ,Severe Storm,1129,0,2014,04,12,2014,04,13,2014-04-12,2014-04-13
202,Midwest/Southeast/Northeast Tornadoes and Flooding ,Severe Storm,2136,33,2014,04,27,2014,05,01,2014-04-27,2014-05-01
203,Rockies/Midwest/Eastern Severe Weather ,Severe Storm,4567,0,2014,05,18,2014,05,23,2014-05-18,2014-05-23
204,Rockies/Central Plains Severe Weather ,Severe Storm,2361,2,2014,06,03,2014,06,05,2014-06-03,2014-06-05
205,Michigan and Northeast Flooding ,Flooding,1269,2,2014,08,11,2014,08,13,2014-08-11,2014-08-13
206,Rockies/Plains Severe Weather ,Severe Storm,1722,0,2014,09,29,2014,10,02,2014-09-29,2014-10-02
207,Western Drought ,Drought,4940,0,2014,01,01,2014,12,31,2014-01-01,2014-12-31
208,"Central and Eastern Winter storm, Cold Wave ",Winter Storm,3703,30,2015,02,14,2015,02,20,2015-02-14,2015-02-20
209,Midwest/Ohio Valley Severe Weather ,Severe Storm,1929,2,2015,04,07,2015,04,09,2015-04-07,2015-04-09
210,South/Southeast Severe Weather ,Severe Storm,1592,0,2015,04,18,2015,04,20,2015-04-18,2015-04-20
211,South and Southeast Severe Weather ,Severe Storm,1171,3,2015,04,24,2015,04,25,2015-04-24,2015-04-25
212,Southern Plains Tornadoes ,Severe Storm,1565,4,2015,05,06,2015,05,10,2015-05-06,2015-05-10
213,Texas and Oklahoma Flooding and Severe Weather ,Flooding,3126,31,2015,05,23,2015,05,26,2015-05-23,2015-05-26
214,Central and Northeast Severe Weather ,Severe Storm,1430,1,2015,06,21,2015,06,25,2015-06-21,2015-06-25
215,South Carolina and East Coast Flooding ,Flooding,2458,25,2015,10,01,2015,10,05,2015-10-01,2015-10-05
216,Western and Alaskan Wildfires ,Wildfire,3694,12,2015,06,01,2015,11,30,2015-06-01,2015-11-30
217,Texas Tornadoes and Midwest Flooding ,Severe Storm,2433,50,2015,12,26,2015,12,29,2015-12-26,2015-12-29
218,Western Drought ,Drought,5583,0,2015,01,01,2015,12,31,2015-01-01,2015-12-31
219,Southeast and Eastern Tornadoes ,Severe Storm,1279,10,2016,02,22,2016,02,24,2016-02-22,2016-02-24
220,Texas and Louisiana Flooding ,Flooding,2823,5,2016,03,08,2016,03,12,2016-03-08,2016-03-12
221,Southern Severe Weather ,Severe Storm,1489,1,2016,03,17,2016,03,18,2016-03-17,2016-03-18
222,North Texas Hail Storm ,Severe Storm,2540,0,2016,03,23,2016,03,24,2016-03-23,2016-03-24
223,North/Central Texas Hail Storm ,Severe Storm,4268,0,2016,04,10,2016,04,12,2016-04-10,2016-04-12
224,Houston Flooding ,Flooding,3292,8,2016,04,17,2016,04,18,2016-04-17,2016-04-18
225,South/Southeast Tornadoes ,Severe Storm,2921,6,2016,04,26,2016,05,02,2016-04-26,2016-05-02
226,Plains Tornadoes and Central Severe Weather ,Severe Storm,2098,2,2016,05,08,2016,05,11,2016-05-08,2016-05-11
227,Rockies/Central Tornadoes and Severe Weather ,Severe Storm,1398,0,2016,05,21,2016,05,26,2016-05-21,2016-05-26
228,West Virginia Flooding and Ohio Valley Tornadoes ,Flooding,1192,23,2016,06,22,2016,06,24,2016-06-22,2016-06-24
229,Rockies and Northeast Severe Weather ,Severe Storm,1773,0,2016,07,28,2016,07,30,2016-07-28,2016-07-30
230,Louisiana Flooding ,Flooding,12300,13,2016,08,12,2016,08,15,2016-08-12,2016-08-15
231,Hurricane Matthew ,Tropical Cyclone,12100,49,2016,10,08,2016,10,12,2016-10-08,2016-10-12
232,West/Northeast/Southeast Drought ,Drought,4236,0,2016,01,01,2016,12,31,2016-01-01,2016-12-31
233,Western/Southeast Wildfires ,Wildfire,2898,21,2016,06,01,2016,12,31,2016-06-01,2016-12-31
234,Southern Tornado Outbreak and Western Storms ,Severe Storm,1326,24,2017,01,20,2017,01,22,2017-01-20,2017-01-22
235,California Flooding ,Flooding,1800,5,2017,02,08,2017,02,22,2017-02-08,2017-02-22
236,Central/Southeast Tornado Outbreak ,Severe Storm,2167,6,2017,02,28,2017,03,01,2017-02-28,2017-03-01
237,Midwest Tornado Outbreak ,Severe Storm,2611,2,2017,03,06,2017,03,08,2017-03-06,2017-03-08
238,Southeast Freeze ,Freeze,1200,0,2017,03,14,2017,03,16,2017-03-14,2017-03-16
239,South/Southeast Severe Weather ,Severe Storm,3234,0,2017,03,26,2017,03,28,2017-03-26,2017-03-28
240,Southeast Severe Weather and Tornadoes ,Severe Storm,1171,1,2017,04,04,2017,04,06,2017-04-04,2017-04-06
241,Missouri and Arkansas Flooding and Central Severe Weather ,Flooding,1991,20,2017,04,25,2017,05,07,2017-04-25,2017-05-07
242,Colorado Hail Storm and Central Severe Weather ,Severe Storm,3986,0,2017,05,08,2017,05,11,2017-05-08,2017-05-11
243,North Central Severe Weather and Tornadoes ,Severe Storm,1120,1,2017,05,15,2017,05,18,2017-05-15,2017-05-18
